Date,Ticker,Close,High,Low,Open,Volume
2023-01-03,AAPL,123.47061157226562,129.22605213593528,122.58211921528644,128.6139854814398,112117500
2023-01-03,MSFT,234.80892944335938,240.85605630555537,232.67233488044818,238.23922932970504,25740000
2023-01-03,TSLA,108.0999984741211,118.80000305175781,104.63999938964844,118.47000122070312,231402800
2023-01-04,AAPL,124.7441177368164,127.01470850998557,123.48048749262259,125.26733892869382,89113600
2023-01-04,MSFT,224.53765869140625,228.2325713228783,221.46018993339348,227.65432430054253,50623400
2023-01-04,TSLA,113.63999938964844,114.58999633789062,107.5199966430664,109.11000061035156,180389000
2023-01-05,AAPL,123.4212646484375,126.13609817024776,123.16459490202124,125.50428297135478,80962700
2023-01-05,MSFT,217.88287353515625,223.01852855170435,217.3438233498918,222.67549253701173,39585600
2023-01-05,TSLA,110.33999633789062,111.75,107.16000366210938,110.51000213623047,157986300
2023-01-06,AAPL,127.9624252319336,128.6238555191488,123.29291630250204,124.39859654565812,87754700
2023-01-06,MSFT,220.45069885253906,221.26417188709627,214.9818330743018,218.55914037652232,43613600
2023-01-06,TSLA,113.05999755859375,114.38999938964844,101.80999755859375,103.0,220911100
2023-01-09,AAPL,128.4856414794922,131.70396238313268,128.22897177101316,128.80155656407595,70790800
2023-01-09,MSFT,222.59707641601562,226.63503997806498,221.9012238905733,221.9404207414047,27369800
2023-01-09,TSLA,119.7699966430664,123.5199966430664,117.11000061035156,118.95999908447266,190284000
2023-01-10,AAPL,129.0582275390625,129.58144872233615,126.48160347682453,128.5942366688145,63896200
2023-01-10,MSFT,224.29263305664062,226.70363566114452,222.8028985080936,223.22432820821962,27033900
2023-01-10,TSLA,118.8499984741211,122.76000213623047,114.91999816894531,121.06999969482422,167642500
2023-01-11,AAPL,131.78292846679688,131.80266185993827,128.7916774670581,129.5715682785917,69458900
2023-01-11,MSFT,231.07481384277344,231.2512220935921,226.50761080924343,226.6840190600621,28669300
2023-01-11,TSLA,123.22000122070312,125.94999694824219,120.51000213623047,122.08999633789062,183810800
2023-01-12,AAPL,131.70396423339844,132.5430854442494,129.75915527463124,132.16795510561155,71379600
2023-01-12,MSFT,233.76025390625,235.1225725416833,228.9088322882637,230.57497512258234,27269500
2023-01-12,TSLA,123.55999755859375,124.12999725341797,117.0,122.55999755859375,169400900
2023-01-13,AAPL,133.03668212890625,133.19463966232263,129.97633400317605,130.3415976184994,57809700
2023-01-13,MSFT,234.4659423828125,234.60315380869207,230.24177460581592,232.2803550438294,21333300
2023-01-13,TSLA,122.4000015258789,122.62999725341797,115.5999984741211,116.55000305175781,180714100
2023-01-17,AAPL,134.20162963867188,135.53435707802646,132.41477795673228,133.1058234879157,63646600
2023-01-17,MSFT,235.5636444091797,236.11249010259638,232.3685549076242,233.23103525723528,29831300
2023-01-17,TSLA,131.49000549316406,131.6999969482422,125.0199966430664,125.69999694824219,186477000
2023-01-18,AAPL,133.48094177246094,136.83745656269951,133.30323577852656,135.0703537024429,69672800
2023-01-18,MSFT,231.11404418945312,237.5532154662232,230.82982587029858,236.75934831263203,30028700
2023-01-18,TSLA,128.77999877929688,136.67999267578125,127.01000213623047,136.55999755859375,195680300
2023-01-19,AAPL,133.54019165039062,134.50765533885576,132.0593734264766,132.36540678256628,58280400
2023-01-19,MSFT,227.311279296875,230.82979848155264,226.08617211757934,229.12444390420126,28623000
2023-01-19,TSLA,127.16999816894531,129.99000549316406,124.30999755859375,127.26000213623047,170291900
2023-01-20,AAPL,136.10693359375,136.2550244536786,132.50361529041555,133.55005775379874,80223600
2023-01-20,MSFT,235.4362030029297,235.94585178667532,229.8399067203441,230.18294271909866,35389800
2023-01-20,TSLA,133.4199981689453,133.50999450683594,127.3499984741211,128.67999267578125,138858100
2023-01-23,AAPL,139.3054962158203,141.4872415250396,136.136538833656,136.3537266947968,81760300
2023-01-23,MSFT,237.74920654296875,240.28762508379944,234.87754747647304,236.2986837989115,31934000
2023-01-23,TSLA,143.75,145.3800048828125,134.27000427246094,135.8699951171875,203119200
2023-01-24,AAPL,140.7073516845703,141.32930018220668,138.50587272731724,138.51573942626007,66435100
2023-01-24,MSFT,237.21995544433594,239.0919228720018,235.6518271703912,237.67080148298487,40234400
2023-01-24,TSLA,143.88999938964844,146.5,141.10000610351562,143.0,158699100
